"Iteration","FR - _step","FR - _step__MIN","FR - _step__MAX","FR - benchmarks/FID","FR - benchmarks/FID__MIN","FR - benchmarks/FID__MAX","TR - _step","TR - _step__MIN","TR - _step__MAX","TR - benchmarks/FID","TR - benchmarks/FID__MIN","TR - benchmarks/FID__MAX"
"1","674","503","845","13.238741763433069","13.051298127742001","13.426185399124137","674","503","845","18.8908434142935","18.81914718811683","18.96253964047017"
"2","1671","1500","1842","29.93442626549279","29.882467684614596","29.98638484637098","1671","1500","1842","9.154966882870212","9.013046226347356","9.296887539393069"
"3","2668","2497","2839","25.055213464002065","24.87378668378878","25.23664024421535","2668","2497","2839","7.7761743572809365","7.70609158176137","7.846257132800503"
"4","3490","3319","3661","22.487435161962892","22.476773536297515","22.49809678762827","3412","3240","3584","7.122518687590258","7.078808754531309","7.166228620649207"
"5","4387","4216","4558","20.66891445217253","20.126147021880342","21.211681882464717","4037","4037","4037","7.005803248194354","7.005803248194354","7.005803248194354"
"6","4988","4988","4988","18.610527003628917","18.610527003628917","18.610527003628917","4910","4738","5082","6.62027190924146","6.508855696867812","6.731688121615107"
"7","5685","5514","5856","17.99480362124268","17.696464536989993","18.29314270549537","5485","5485","5485","6.663486472558574","6.663486472558574","6.663486472558574"
"8","6511","6511","6511","17.19804260167794","17.19804260167794","17.19804260167794","6236","6236","6236","6.649649968730728","6.649649968730728","6.649649968730728"
"9","7183","7012","7354","16.52211656666097","16.4558027197467","16.58843041357524","6762","6762","6762","6.692349498482471","6.692349498482471","6.692349498482471"
"10","8009","8009","8009","16.161105025899218","16.161105025899218","16.161105025899218","7485","7313","7657","6.658247500173516","6.645994318803446","6.6705006815435866"
"11","8556","8385","8727","15.759930898904337","15.514031338220036","16.005830459588637","8083","8083","8083","6.776800953927847","6.776800953927847","6.776800953927847"
"12","9282","9282","9282","15.113383738911338","15.113383738911338","15.113383738911338","8756","8584","8928","6.638594778125707","6.583591632134755","6.693597924116659"
"13","9833","9833","9833","14.894229556049936","14.894229556049936","14.894229556049936","9453","9281","9625","6.575328241090737","6.550013631095069","6.6006428510864055"
"14","10509","10509","10509","14.354664585811577","14.354664585811577","14.354664585811577","10276","10276","10276","6.751798988112668","6.751798988112668","6.751798988112668"
"15","10960","10960","10960","14.221481553739196","14.221481553739196","14.221481553739196","10827","10827","10827","6.746466078524932","6.746466078524932","6.746466078524932"
"16","11636","11636","11636","14.087362116578575","14.087362116578575","14.087362116578575","11525","11353","11697","6.790725098150894","6.748597762518784","6.832852433783003"
"17","12137","12137","12137","14.28580328877149","14.28580328877149","14.28580328877149","12073","12073","12073","6.777131472645962","6.777131472645962","6.777131472645962"
"18","12788","12788","12788","13.91883249823978","13.91883249823978","13.91883249823978","12499","12499","12499","6.852053716627893","6.852053716627893","6.852053716627893"
"19","13485","13314","13656","13.622254871257297","13.339659518205607","13.904850224308987","12975","12975","12975","6.677868640346702","6.677868640346702","6.677868640346702"
"20","14207","14207","14207","13.655476223558892","13.655476223558892","13.655476223558892","13676","13676","13676","6.534386193977781","6.534386193977781","6.534386193977781"
