"Iteration","TR - _step","TR - _step__MIN","TR - _step__MAX","TR - benchmarks/MMD","TR - benchmarks/MMD__MIN","TR - benchmarks/MMD__MAX","TR - benchmarks/MMD_baseline","TR - benchmarks/MMD_baseline__MIN","TR - benchmarks/MMD_baseline__MAX","FR - _step","FR - _step__MIN","FR - _step__MAX","FR - benchmarks/MMD","FR - benchmarks/MMD__MIN","FR - benchmarks/MMD__MAX","FR - benchmarks/MMD_baseline","FR - benchmarks/MMD_baseline__MIN","FR - benchmarks/MMD_baseline__MAX"
"1","1579.5","1052","2107","0.0029470487109695873","0.002597208134829998","0.003157778410241008","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969","1579.5","1052","2107","0.00323934907404085","0.003153753001242876","0.00333221023902297","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969"
"2","3685.5","3158","4213","0.0015239315301490326","0.0014759822515770793","0.0016251620836555958","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969","3685.5","3158","4213","0.0007029686239548028","0.0006146889645606279","0.0007871142006479204","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969"
"3","5791.5","5264","6319","0.0005409052488782132","0.0004651123017538339","0.0006236021872609854","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969","5791.5","5264","6319","0.0001583731888482968","0.00014127709437161684","0.00017169055354315788","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969"
"4","7897.5","7370","8425","0.0010950337067091216","0.0008987053297460079","0.0014173024101182818","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969","7897.5","7370","8425","0.0001129496043480079","0.000057785520766628906","0.00020938146917615086","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969"
"5","10003.5","9476","10531","0.0013976345071569085","0.001208227127790451","0.0014882638351991773","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969","10003.5","9476","10531","0.00021835941879544407","0.0001777902216417715","0.00023670171503908932","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969"
"6","12109.5","11582","12637","0.0000781041308073327","0.000050495847972342744","0.00011597027332754806","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969","12109.5","11582","12637","0.00006748958367097657","0.000043450560042401776","0.00008738195901969448","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969"
"7","14215.5","13688","14743","0.0018269190525946517","0.0014882017858326435","0.0021016693208366632","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969","14215.5","13688","14743","0.000038763152436634606","0.000015089660337253008","0.00007458642357960343","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969"
"8","16321.5","15794","16849","0.0005288260726956651","0.00042754277819767594","0.0006201627547852695","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969","16321.5","15794","16849","0.00005057407634012634","0.000021666352040483616","0.000097914737125393","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969"
"9","18427.5","17900","18955","0.0024437344012161097","0.002268912037834525","0.0027184702921658754","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969","18427.5","17900","18955","0.00007306494201960352","0.00003350604310980998","0.00012058935681125149","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969"
"10","20533.5","20006","21061","0.0011978641850873828","0.001087828422896564","0.0013161865063011646","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969","20533.5","20006","21061","0.00010038328340063647","0.00005432153193396516","0.00016929647244978696","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969"
"11","22639.5","22112","23167","0.0020189729790824154","0.0018453688826411963","0.0022333769593387842","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969","22639.5","22112","23167","0.000059828693944533974","0.00004851403718930669","0.00007534765609307215","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969"
"12","24745.5","24218","25273","0.0003014147951034829","0.00026463420363143086","0.00040649244328960776","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969","24745.5","24218","25273","0.0000350821128449752","0.000019568695279303938","0.00006665368709946051","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969"
"13","26851.5","26324","27379","0.00023319841420743614","0.00019362536841072142","0.0002821273810695857","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969","26851.5","26324","27379","0.00014488817760138772","0.00005748528928961605","0.00019616796635091305","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969"
"14","28957.5","28430","29485","0.00019143942578618103","0.00008904418791644275","0.00031045093783177435","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969","28957.5","28430","29485","0.00015162591565361558","0.00004413806163938716","0.00026464261463843286","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969"
"15","31063.5","30536","31591","0.00014938396998331882","0.00007775860285619274","0.00022200793318916112","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969","31063.5","30536","31591","0.00014437018762691878","0.00009545318607706577","0.0001936732733156532","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969"
"16","33169.5","32642","33697","0.00011297712141337495","0.00005796569894300774","0.00017143067088909447","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969","33169.5","32642","33697","0.00010372197357355617","0.00004248388722771779","0.0001496434269938618","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969"
"17","34959","34748","35170","0.0005840647500008345","0.0005474905483424664","0.0006034731050021946","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969","34959","34748","35170","0.000055608235318989806","0.00003989819379057735","0.00007275158714037389","0.0005824527470394969","0.0005824527470394969","0.0005824527470394969"
